SL_NO,BRAND_CATEGORY, BRAND,SIZE_ML,MAXIMUM_RETAIL_PRICE_PER_BOTTLE,PRICE_DURATION
347,B.I.O.,JACK DANIEL'S TENNESSE APPLE LIQUEUR,750,3547,2024_Q1
348,B.I.O.,JACK DANIELS TENNESSEE FIRE CINNAMON LIQUEUR,750,3547,2024_Q1
349,B.I.O.,JACK DANIELS TENNESSEE HONEY LIQUEUR,750,3547,2024_Q1
350,B.I.O.,JACOBS CREEK CLASSIC CHARDONNAY WINE,750,1528,2024_Q1
351,B.I.O.,JACOBS CREEK CLASSIC SHIRAZ CABERNET WINE,750,1528,2024_Q1
352,B.I.O.,JAGERMEISTER HERBAL LIQUEUR,750,3428,2024_Q1
353,B.I.O.,JAMES ALEXANDER BLENDED SCOTCH WHISKY,750,1574,2024_Q1
354,B.I.O.,JAMESON TRIPLE DISTILLED IRISH WHISKEY,750,2238,2024_Q1
355,B.I.O.,JIM BEAM BLACK EXTRA AGED BOURBON WHISKEY,750,3707,2024_Q1
356,B.I.O.,JOSE CUERVO ESPECIAL REPOSADO TEQUILA,750,3716,2024_Q1
357,B.I.O.,JOSE CUERVO ESPECIAL SILVE TEQUILA,750,3716,2024_Q1
358,B.I.O.,JP CHENET CHARDONNAY WHITE WINE,750,1716,2024_Q1
359,B.I.O.,JP CHENET MERLOT RED WINE,750,1716,2024_Q1
360,B.I.O.,JURA SINGLE MALT SCOTCH WHISKY AGED 10 YEARS,700,6126,2024_Q1
361,B.I.O.,LA CHICA TEQUILA BLANCO,700,2196,2024_Q1
362,B.I.O.,LANGLEYS OLD TOM GIN,700,2882,2024_Q1
363,B.I.O.,LAPHROAIG ISLAY SINGLE MALT SCOTCH WHISKY SELECT,750,6022,2024_Q1
364,B.I.O.,LE GRAND NOIR CABERNET SAUVIGNON,750,2866,2024_Q1
365,B.I.O.,LE GRAND NOIR MALBEC RED WINE,750,2866,2024_Q1
366,B.I.O.,LE GRAND NOIR ROSE WINE,750,2966,2024_Q1
367,B.I.O.,LE GRAND NOIR CHARDONNAY WHITE WINE,750,1816,2024_Q1
368,B.I.O.,LE GRAND NOIR PINOT NOIR RED WINE,750,1816,2024_Q1
369,B.I.O.,LUCIFER'S GOLD A BLEND OF BOURBON & SCOTCH WHISKY,700,1883,2024_Q1
370,B.I.O.,MATEUS THE ORIGINAL ROSE WINE,750,2074,2024_Q1
371,B.I.O.,MOET AND CHANDON ROSE IMPERIAL CHAMPAGNE BRUT,750,13797,2024_Q1
372,B.I.O.,MONKEY SHOULDER THE ORIGINAL BLENDED MALT SCOTCH WHISKY,700,4430,2024_Q1
373,B.I.O.,MONKEY 47 SCHWARZWALD DRY GIN,500,4933,2024_Q1
374,B.I.O.,MONTE PACIFICO MERLOT,750,2131,2024_Q1
375,B.I.O.,MONTE PACIFICO CHARDONNAY,750,2131,2024_Q1
376,B.I.O.,NAPOLEON PURE GRAPE BRANDY V.S.O.P.,750,2335,2024_Q1
377,B.I.O.,OUTBACK JACK CABERNET MERLOT,750,1317,2024_Q1
378,B.I.O.,PEDRERA BLANCO WHITE WINE,750,1339,2024_Q1
379,B.I.O.,PEDRERA MONASTREL RED WINE,750,1339,2024_Q1
380,B.I.O.,PEDRERA ROSADO ROSE WINE,750,1339,2024_Q1
381,B.I.O.,PREMIUS BORDEAUX ROUGE WINE,750,2801,2024_Q1
382,B.I.O.,PREMIUS BORDEAUX SAUVIGNON WINE,750,2666,2024_Q1
383,B.I.O.,RIUNITE LAMBRUSCO EMILIA SWEET RED WINE,750,1798,2024_Q1
384,B.I.O.,ROKU GIN,700,5482,2024_Q1
385,B.I.O.,ROYAL SALUTE 21 YEARS OLD BLENDED SCOTCH WHISKY,700,18880,2024_Q1
386,B.I.O.,RUSSIAN STANDARD VODKA,750,2366,2024_Q1
387,B.I.O.,SANGRE DE TORO ORIGINAL RED WINE,750,2866,2024_Q1
388,B.I.O.,SCHWARTZHOG KRAUTER LIQUEUR,750,2583,2024_Q1
389,B.I.O.,SIERRA TEQUILA REPOSADO,700,3283,2024_Q1
390,B.I.O.,SIERRA TEQUILA SILVER,700,3283,2024_Q1
391,B.I.O.,ST-REMY XO FRENCH BRANDY,700,3667,2024_Q1
392,B.I.O.,TENJAKU BLENDED WHISKY,700,3721,2024_Q1
393,B.I.O.,TENJAKU CRAFT GIN,700,4123,2024_Q1
394,B.I.O.,THE ARDMORE HIGHLAND SINGLE MALT SCOTCH WHISKY,700,4228,2024_Q1
395,B.I.O.,THE BUSH RUM ORIGINAL SPICED,700,5833,2024_Q1
396,B.I.O.,THE GLEN GRANT SINGLE MALT SCOTCH WHISKY AGED 10 YEARS,750,4903,2024_Q1
397,B.I.O.,THE GLEN GRANT SINGLE MALT SCOTCH WHISKY AGED 12 YEARS,750,5633,2024_Q1
398,B.I.O.,THE GLENLIVET 12 YEARS SINGLE MALT SCOTCH WHISKY,700,5433,2024_Q1
399,B.I.O.,THE KING LUIS XIII BRANDY,700,560066,2024_Q1
400,B.I.O.,THE SEXTON SINGLE MALT IRISH WHISKEY,700,7633,2024_Q1
401,B.I.O.,TOKI SUNTORY WHISKY,700,4892,2024_Q1
402,B.I.O.,TRES PICOS GANARCHA RED WINE,750,3166,2024_Q1
403,B.I.O.,VILLA SANDI PROSECCO SPARKLING WHITE WINE BRUT,750,2683,2024_Q1
404,B.I.O.,VINASOL ORIGINAL WHITE WINE,750,3516,2024_Q1
405,B.I.O.,VIVA EL RON DE CUBAN WHITE RUM,700,1827,2024_Q1
406,B.I.O.,WILD TURKEY KENTUCKY STRAIGHT BOURBON WHISKEY,750,2841,2024_Q1
407,B.I.O.,X-RATED FUSION LIQUEUR,750,1951,2024_Q1
